Gelir,Yas,KrediPuani,CalismaYili,Skor,GeriOdemeSuresi
60187.0,56.0,488.0,50.0,67.04463480392157,37.188544117647055
26322.0,36.0,230.0,0.0,29.16486764705882,50.890088235294115
49025.0,35.0,364.0,16.0,46.415747549019606,41.155514705882354
52602.0,73.0,75.0,10.0,42.09829901960784,53.23185294117647
78528.0,20.0,74.0,58.0,47.30290196078431,40.544470588235285
7269.0,29.0,598.0,11.0,39.523914215686275,44.00627941176471
51384.0,23.0,668.0,35.0,61.94939215686275,30.21282352941176
39816.0,46.0,329.0,20.0,44.57021568627451,45.78129411764706
38788.0,41.0,66.0,12.0,29.29844117647059,53.18535294117647
40691.0,62.0,651.0,44.0,67.81598774509803,37.97430882352941
29803.0,40.0,48.0,10.0,24.513379901960786,55.84336764705882
52316.0,80.0,652.0,42.0,76.12438235294118,37.15629411764706
4209.0,80.0,195.0,27.0,34.078375,60.0
53402.0,29.0,740.0,39.0,68.17280882352942,28.296558823529416
76525.0,81.0,659.0,55.0,87.93412990196079,31.01580882352941
33547.0,80.0,588.0,20.0,62.40757598039216,43.73089705882354
6626.0,82.0,134.0,52.0,36.75141666666667,60.0
33678.0,33.0,704.0,28.0,58.19003431372549,34.75697058823529
55757.0,35.0,236.0,33.0,45.75005147058823,43.237220588235296
29005.0,26.0,185.0,30.0,30.70040441176471,50.36639705882354
73804.0,48.0,657.0,57.0,79.38826470588235,27.872529411764702
63790.0,71.0,206.0,49.0,58.487916666666656,46.34661764705883
44897.0,31.0,23.0,13.0,27.37951225490196,51.74633823529412
27597.0,80.0,395.0,21.0,51.260639705882355,50.894867647058824
63851.0,55.0,695.0,58.0,79.25785049019608,30.066661764705884
45588.0,62.0,125.0,52.0,46.23275490196079,52.22064705882353
45352.0,47.0,642.0,11.0,60.110921568627454,35.30905882352941
55511.0,24.0,447.0,58.0,57.165644607843134,35.79872058823529
63846.0,44.0,741.0,49.0,77.33244607843137,27.42085294117647
29841.0,23.0,396.0,9.0,36.737433823529415,43.59857352941176
40937.0,42.0,377.0,30.0,47.974904411764705,43.61869117647059
4667.0,29.0,540.0,44.0,41.31875245098039,46.362661764705884
45015.0,51.0,205.0,42.0,45.527683823529415,48.71683823529412
4757.0,33.0,75.0,49.0,21.244659313725492,60.0
25321.0,70.0,665.0,43.0,64.42674754901961,42.3462205882353
34718.0,61.0,600.0,7.0,56.77415196078431,40.84991176470588
28049.0,34.0,518.0,51.0,51.39484558823529,41.75245588235294
10876.0,51.0,180.0,6.0,25.549088235294118,57.98688235294117
50839.0,79.0,472.0,52.0,68.53129166666668,42.702014705882355
28516.0,34.0,792.0,29.0,60.797421568627456,33.57688235294118
78120.0,70.0,80.0,5.0,50.363627450980395,46.35235294117647
19524.0,72.0,96.0,26.0,33.113656862745096,60.0
60228.0,78.0,641.0,30.0,76.10314705882354,35.2665294117647
56181.0,70.0,531.0,49.0,70.69336519607843,38.57239705882353
18908.0,41.0,634.0,42.0,53.57285294117647,41.44947058823529
73256.0,84.0,527.0,51.0,80.53570588235294,36.06835294117647
33836.0,25.0,780.0,4.0,55.94340196078431,31.540999999999997
15850.0,63.0,57.0,5.0,24.28296568627451,60.0
78974.0,64.0,694.0,16.0,79.9995637254902,27.37414705882353
15357.0,78.0,758.0,40.0,66.44907107843137,43.04310294117647
57811.0,24.0,714.0,41.0,67.75951715686276,27.370779411764705
70808.0,39.0,501.0,46.0,66.97260784313725,32.15094117647059
72044.0,31.0,231.0,37.0,51.347872549019606,38.84194117647059
30179.0,68.0,569.0,42.0,61.093595588235296,43.71995588235294
37395.0,22.0,788.0,46.0,63.94861519607843,30.063014705882352
61623.0,77.0,479.0,23.0,67.6007818627451,39.56483823529412
9074.0,51.0,453.0,26.0,41.05373039215687,50.40797058823529
21372.0,21.0,736.0,50.0,55.92430392156863,35.48052941176471
57965.0,75.0,720.0,25.0,77.43295343137255,33.15580882352941
46226.0,72.0,113.0,6.0,40.59357352941176,53.59055882352941
48909.0,67.0,607.0,19.0,65.83695343137255,37.802161764705886
3232.0,58.0,597.0,27.0,47.45317647058823,48.45670588235295
30025.0,43.0,145.0,47.0,36.03388480392157,53.28786764705882
4703.0,20.0,379.0,36.0,30.304801470588238,50.03013235294117
31011.0,61.0,394.0,30.0,49.52324264705882,47.83548529411765
6181.0,73.0,601.0,58.0,57.443365196078425,49.366514705882345
2355.0,39.0,186.0,9.0,20.312536764705882,58.52889705882353
64223.0,37.0,259.0,0.0,44.97774264705882,40.679544117647055
53706.0,83.0,307.0,31.0,59.28288725490196,47.30879411764706
12971.0,25.0,400.0,7.0,30.736674019607843,47.93372058823529
69100.0,81.0,536.0,58.0,79.86151960784315,36.48970588235294
34309.0,36.0,620.0,56.0,59.846267156862744,37.42275
16066.0,79.0,108.0,50.0,38.02867156862745,60.0
67739.0,41.0,646.0,27.0,69.94918382352941,28.888779411764705
62398.0,47.0,657.0,48.0,73.3757205882353,30.606382352941175
60209.0,26.0,60.0,7.0,32.686218137254905,46.241867647058825
39291.0,19.0,20.0,57.0,29.645889705882354,51.824308823529414
40443.0,45.0,548.0,49.0,59.70926225490195,39.0657205882353
78933.0,65.0,505.0,42.0,75.65869852941177,33.06086764705883
59427.0,23.0,798.0,46.0,72.91649754901961,24.378544117647053
62981.0,40.0,520.0,38.0,63.833561274509805,33.66651470588235
3188.0,42.0,798.0,54.0,57.63079411764706,40.67358823529412
78986.0,21.0,115.0,14.0,42.306024509803926,39.34173529411765
40455.0,24.0,678.0,34.0,58.390232843137255,32.768602941176475
2622.0,32.0,758.0,47.0,52.01658333333334,40.81508823529411
27473.0,21.0,282.0,59.0,38.347473039215686,47.30822058823529
67140.0,68.0,508.0,34.0,70.75004901960786,36.27382352941177
3553.0,63.0,393.0,44.0,41.98335539215686,54.96469117647059
7415.0,81.0,621.0,21.0,54.56297794117647,49.410955882352944
59385.0,60.0,565.0,30.0,67.97525735294118,35.59492647058824
2624.0,51.0,614.0,4.0,42.54478431372549,47.28517647058824
50717.0,53.0,106.0,29.0,41.311031862745104,50.43839705882353
50690.0,80.0,375.0,7.0,56.64600490196079,45.70985294117647
66088.0,72.0,351.0,35.0,64.07515686274509,41.625058823529415
43041.0,79.0,567.0,46.0,69.07762990196079,41.85739705882353
70806.0,45.0,44.0,54.0,48.21107352941176,46.298500000000004
30038.0,63.0,793.0,5.0,64.23875980392157,36.57873529411764
65396.0,22.0,835.0,45.0,76.49408823529411,21.68041176470588
64113.0,57.0,583.0,52.0,73.55610049019609,33.53057352941176
51636.0,27.0,695.0,25.0,62.58899019607843,29.82629411764706
24557.0,41.0,415.0,50.0,46.71867892156863,46.478397058823525
42635.0,53.0,736.0,48.0,71.09400735294116,33.929485294117654
46460.0,84.0,497.0,18.0,63.57544117647059,43.64970588235294
37129.0,62.0,288.0,57.0,51.564551470588235,49.54127941176471
2675.0,64.0,732.0,48.0,58.50900735294117,45.33125
17908.0,30.0,131.0,50.0,28.272362745098036,55.19947058823529
46919.0,59.0,48.0,52.0,42.4024681372549,53.799661764705874
52890.0,41.0,588.0,28.0,61.81806372549019,34.30691176470589
7687.0,26.0,38.0,36.0,16.788507352941178,60.0
21395.0,30.0,795.0,27.0,56.99371323529412,34.79830882352941
42207.0,60.0,834.0,14.0,71.52566421568628,31.977661764705882
42402.0,34.0,646.0,27.0,58.800749999999994,34.3995
74716.0,41.0,745.0,25.0,76.89104901960785,24.232764705882353
62953.0,70.0,238.0,29.0,56.11129656862745,45.49704411764706
65543.0,78.0,371.0,7.0,61.55705637254901,41.87895588235294
33345.0,82.0,290.0,23.0,49.27888480392157,52.78139705882353
17346.0,26.0,841.0,25.0,56.36553431372549,33.98702941176471
64590.0,24.0,24.0,17.0,33.831053921568625,45.97014705882353
5735.0,55.0,534.0,44.0,47.55454656862746,49.33095588235294
8787.0,71.0,127.0,36.0,31.977477941176474,60.0
50560.0,70.0,6.0,57.0,45.212941176470586,55.41882352941176
17863.0,41.0,769.0,42.0,59.53391911764706,37.740132352941174
16357.0,20.0,30.0,21.0,15.751522058823529,57.381338235294116
41147.0,38.0,644.0,0.0,54.67718382352942,35.242661764705886
71964.0,51.0,146.0,11.0,47.69042156862745,43.714882352941174
31614.0,46.0,270.0,44.0,42.71799509803922,49.56708823529412
55386.0,61.0,105.0,9.0,41.56386764705882,50.24173529411765
52644.0,51.0,757.0,45.0,74.86502941176471,30.574294117647057
13843.0,66.0,839.0,11.0,62.03622303921569,39.62748529411765
10631.0,63.0,21.0,14.0,22.131723039215686,60.0
22409.0,62.0,538.0,32.0,53.64259068627451,45.86833823529412
14565.0,82.0,777.0,6.0,62.32069852941176,43.15286764705883
19095.0,51.0,560.0,14.0,47.846899509803926,44.755661764705884
55550.0,52.0,137.0,38.0,45.8469362745098,48.20073529411764
62892.0,25.0,707.0,57.0,72.23744117647058,26.424058823529414
57683.0,48.0,443.0,3.0,54.27230147058823,38.19689705882353
79348.0,68.0,847.0,6.0,86.61432352941176,23.251235294117645
14641.0,80.0,420.0,22.0,47.74527696078432,53.39857352941177
62230.0,33.0,370.0,33.0,54.0127205882353,37.4425
78732.0,45.0,44.0,7.0,43.34999019607843,44.317
32789.0,32.0,514.0,9.0,45.51352205882353,40.449808823529416
54689.0,24.0,832.0,19.0,68.47504166666667,24.68069117647059
67297.0,79.0,436.0,11.0,66.1755906862745,39.64633823529412
27115.0,70.0,447.0,11.0,49.50734068627451,48.30948529411764
24104.0,72.0,317.0,38.0,47.2311568627451,53.12105882352942
72033.0,83.0,143.0,5.0,54.1045318627451,47.550573529411764
45318.0,40.0,440.0,58.0,56.778563725490194,40.43520588235294
67466.0,22.0,748.0,58.0,75.34288725490197,23.721735294117646
60811.0,84.0,136.0,29.0,53.802164215686275,50.67960294117647
20775.0,49.0,714.0,31.0,58.08670343137255,39.57095588235294
79585.0,69.0,151.0,44.0,60.51888480392157,43.7802205882353
72784.0,48.0,60.0,28.0,46.0783137254902,45.68635294117647
46984.0,82.0,592.0,53.0,73.60527450980392,40.489294117647056
3314.0,37.0,353.0,18.0,29.56039705882353,53.14208823529412
76636.0,23.0,516.0,42.0,65.43261764705883,28.370411764705885
55604.0,39.0,142.0,37.0,42.87699019607843,46.51076470588235
15097.0,36.0,290.0,8.0,29.11235539215686,51.93163235294117
38105.0,41.0,60.0,20.0,30.093296568627448,53.532573529411756
77715.0,71.0,41.0,45.0,55.27841911764706,47.71830882352941
45182.0,81.0,675.0,10.0,69.43344607843137,38.38097058823529
46034.0,43.0,35.0,40.0,35.69412254901961,52.520911764705886
46830.0,32.0,364.0,5.0,43.0534068627451,41.35132352941177
17181.0,33.0,118.0,46.0,27.427188725490197,56.11651470588235
36877.0,27.0,744.0,14.0,57.526914215686276,32.074867647058824
75093.0,73.0,313.0,58.0,69.73242401960785,40.609102941176474
35414.0,42.0,327.0,32.0,43.88417156862745,46.47002941176471
46571.0,22.0,327.0,49.0,46.195497549019606,41.32783823529412
51117.0,71.0,633.0,12.0,67.66299264705883,36.95604411764706
71205.0,42.0,12.0,23.0,40.982267156862754,46.786985294117656
44170.0,36.0,550.0,43.0,58.08335784313725,37.016323529411764
60975.0,47.0,673.0,14.0,67.92837009803921,30.49154411764706
49736.0,37.0,222.0,21.0,41.30394117647059,45.389529411764705
73942.0,40.0,615.0,46.0,73.74785784313725,28.13214705882353
12365.0,71.0,843.0,31.0,66.18001225490197,40.46757352941176
14701.0,50.0,571.0,9.0,45.64816911764706,45.412985294117654
74288.0,39.0,440.0,34.0,63.40701960784313,33.0750588235294
55813.0,52.0,192.0,37.0,48.36712990196078,46.51733823529412
48516.0,20.0,475.0,3.0,45.75232352941176,36.253352941176466
35150.0,57.0,820.0,38.0,71.51458333333332,33.80073529411764
70155.0,73.0,2.0,39.0,50.07871323529412,50.99066176470588
37952.0,51.0,665.0,35.0,63.35945098039216,36.95317647058823
68240.0,61.0,815.0,41.0,85.1292156862745,26.14588235294117
10313.0,26.0,416.0,26.0,33.894825980392156,48.24527941176471
31976.0,53.0,496.0,20.0,51.13609803921569,43.65305882352941
34216.0,82.0,701.0,47.0,72.9466862745098,40.47541176470588
58085.0,66.0,100.0,42.0,49.017169117647065,50.30227941176471
6137.0,56.0,133.0,51.0,30.236669117647057,60.0
61460.0,66.0,261.0,27.0,55.35926470588235,44.72323529411764
72267.0,74.0,594.0,22.0,76.13149754901961,33.16854411764706
4047.0,65.0,178.0,52.0,33.854879901960786,60.0
30362.0,64.0,449.0,32.0,52.907318627450984,46.73302941176471
24213.0,50.0,756.0,55.0,65.58771813725491,37.593808823529415
77014.0,53.0,683.0,28.0,78.15868137254903,26.893558823529407
68392.0,37.0,147.0,5.0,42.103862745098034,42.931411764705885
6096.0,53.0,722.0,10.0,50.399725490196076,43.476
48355.0,80.0,358.0,13.0,55.97037990196079,46.793602941176474
38825.0,33.0,469.0,57.0,53.894669117647055,40.38198529411765
63398.0,25.0,610.0,15.0,60.862485294117654,29.1505
72432.0,64.0,17.0,53.0,51.8541568627451,48.92141176470588
51966.0,70.0,636.0,39.0,72.38725,36.53791176470588
58131.0,60.0,818.0,30.0,79.41088970588237,28.46725
76527.0,78.0,597.0,16.0,77.81135049019609,32.48589705882353
75065.0,21.0,768.0,26.0,73.5650612745098,21.11610294117647
73011.0,44.0,547.0,13.0,65.63990931372548,30.835485294117646
24198.0,45.0,507.0,30.0,48.52130882352941,44.33285294117647
51057.0,83.0,662.0,17.0,72.6620612745098,37.52986764705883
71177.0,32.0,556.0,3.0,60.885492647058825,29.617514705882346
34230.0,31.0,575.0,42.0,54.189191176470594,38.17779411764705
10498.0,21.0,325.0,32.0,29.50537745098039,50.28726470588235
72279.0,70.0,242.0,6.0,55.963448529411764,43.04789705882353
43020.0,64.0,110.0,49.0,44.53446078431372,53.53911764705883
53083.0,44.0,203.0,24.0,43.81200735294117,45.93513235294118
25991.0,35.0,46.0,50.0,28.479958333333336,56.266955882352946
79139.0,71.0,184.0,13.0,57.208497549019604,43.15642647058823
33392.0,83.0,735.0,44.0,73.97298039215686,39.799058823529414
46294.0,19.0,546.0,49.0,55.691622549019606,34.602970588235294
3283.0,57.0,291.0,17.0,31.170340686274507,57.326308823529416
78031.0,36.0,438.0,19.0,61.510644607843126,31.845191176470586
30224.0,39.0,734.0,53.0,63.88498039215686,35.444
65388.0,39.0,217.0,45.0,51.40873529411765,41.85888235294117
32522.0,68.0,789.0,21.0,68.82516176470588,36.66361764705883
10073.0,41.0,269.0,30.0,31.083257352941175,54.393514705882346
66111.0,53.0,545.0,36.0,68.90927205882353,33.67813235294118
40891.0,80.0,246.0,2.0,46.06745833333334,51.95372058823529
53876.0,20.0,173.0,21.0,36.55055882352941,43.79570588235294
75000.0,83.0,626.0,14.0,79.44656862745097,32.60294117647059
14533.0,47.0,797.0,52.0,62.681247549019616,38.45498529411765
76479.0,18.0,549.0,52.0,67.41687990196078,26.85083823529412
50576.0,42.0,23.0,8.0,31.264039215686275,51.62070588235294
7435.0,71.0,783.0,22.0,60.007732843137255,43.4647794117647
59619.0,76.0,594.0,27.0,72.69241911764706,36.565838235294116
64162.0,56.0,440.0,48.0,65.94310294117646,37.606558823529404
28375.0,45.0,738.0,3.0,56.45827205882353,36.494485294117645
17819.0,32.0,113.0,2.0,19.862517156862744,55.98642647058824
65101.0,47.0,0.0,6.0,36.47169852941177,49.254161764705884
12767.0,18.0,758.0,22.0,48.36017401960784,36.631779411764704
21383.0,38.0,256.0,58.0,38.673526960784315,51.59542647058823
4014.0,59.0,339.0,22.0,35.00721078431373,55.96708823529411
35886.0,50.0,700.0,31.0,63.32979901960784,36.32261764705883
24595.0,65.0,606.0,26.0,57.368223039215685,43.67477941176471
11620.0,80.0,536.0,5.0,49.23789215686275,50.74205882352941
53614.0,18.0,387.0,53.0,51.385642156862744,37.33179411764706
66343.0,42.0,65.0,24.0,41.81980147058823,46.44366176470588
47286.0,46.0,114.0,59.0,43.75381862745098,50.23732352941177
14378.0,70.0,287.0,14.0,37.701553921568625,56.19961764705883
42715.0,56.0,573.0,24.0,60.15930147058823,39.05654411764706
78188.0,44.0,534.0,18.0,67.80285294117648,29.92358823529412
13373.0,31.0,110.0,0.0,17.485463235294116,57.06851470588236
17794.0,21.0,532.0,17.0,39.48255392156863,42.3750294117647
77283.0,58.0,521.0,16.0,69.81249754901961,32.179249999999996
69204.0,26.0,829.0,48.0,79.08091176470589,21.37547058823529
31739.0,80.0,661.0,38.0,68.1648700980392,42.035838235294115
73375.0,37.0,677.0,7.0,69.24699754901961,26.097426470588232
5372.0,60.0,156.0,1.0,23.639990196078433,60.0
66427.0,48.0,777.0,27.0,77.26894852941176,26.187367647058828
24256.0,69.0,154.0,26.0,36.911686274509805,57.524235294117645
24818.0,41.0,152.0,3.0,26.606749999999998,54.14844117647059
26149.0,60.0,239.0,13.0,37.33724754901961,53.492161764705884
71012.0,20.0,136.0,48.0,45.73538235294117,40.59994117647059
29078.0,63.0,441.0,45.0,53.980720588235286,47.17167647058824
51118.0,77.0,412.0,28.0,61.34179901960783,44.16167647058823
40277.0,54.0,88.0,2.0,32.28426715686275,53.695455882352945
65253.0,60.0,381.0,22.0,60.18360049019607,39.5396911764706
48692.0,51.0,210.0,16.0,42.80851960784313,47.6505294117647
67555.0,39.0,213.0,1.0,44.69979166666666,41.4347794117647
46848.0,80.0,12.0,35.0,42.78956862745098,57.346823529411765
20304.0,51.0,4.0,15.0,22.302235294117647,60.0
55100.0,62.0,146.0,53.0,50.9546568627451,49.225
27421.0,43.0,702.0,46.0,61.10248284313725,37.55651470588235
12957.0,67.0,254.0,27.0,37.07652205882353,57.17251470588236
75964.0,35.0,536.0,48.0,69.94532352941177,29.361941176470587
69961.0,31.0,804.0,55.0,80.53145343137255,22.509749999999997
39231.0,22.0,471.0,41.0,48.88613480392157,38.92754411764706
57907.0,51.0,316.0,56.0,57.91904656862746,42.22913235294117
50570.0,46.0,306.0,58.0,53.85394607843136,43.76926470588236
11845.0,49.0,105.0,26.0,25.245796568627448,59.7152205882353
2682.0,25.0,737.0,50.0,49.903789215686274,40.59420588235294
68057.0,38.0,7.0,27.0,39.29196323529412,47.25045588235294
75606.0,51.0,581.0,3.0,68.19342647058824,30.010264705882356
21757.0,27.0,762.0,12.0,52.370639705882354,35.32545588235294
41525.0,33.0,775.0,8.0,61.14050245098039,30.706985294117647
56819.0,19.0,371.0,35.0,49.06987009803921,37.118779411764706
46406.0,45.0,641.0,29.0,62.98852450980392,34.83967647058823
71482.0,83.0,34.0,24.0,51.93516176470588,50.89420588235294
19338.0,55.0,143.0,17.0,29.75567156862745,57.43020588235294
27422.0,76.0,551.0,43.0,61.26168137254902,45.879794117647066
55985.0,38.0,71.0,13.0,35.44339460784313,48.38610294117647
71726.0,77.0,561.0,52.0,80.0815637254902,34.62732352941177
19553.0,51.0,98.0,24.0,27.944139705882353,58.22939705882353
60650.0,41.0,493.0,44.0,62.92414215686275,35.1610294117647
71525.0,76.0,713.0,19.0,81.42383578431374,30.089338235294115
20963.0,46.0,408.0,38.0,44.217987745098036,48.17101470588236
55421.0,48.0,165.0,4.0,40.50836519607842,46.93886764705883
41732.0,64.0,451.0,35.0,57.76518627450981,43.83170588235294
25770.0,56.0,354.0,38.0,45.832377450980395,49.73397058823529
7159.0,45.0,785.0,18.0,53.21403676470588,40.416132352941176
10795.0,40.0,517.0,8.0,39.12263480392157,46.801249999999996
4784.0,38.0,270.0,17.0,26.274392156862742,55.333411764705886
65769.0,60.0,489.0,29.0,66.62612009803922,36.234220588235296
51107.0,80.0,294.0,18.0,54.823948529411766,47.98795588235294
16577.0,79.0,125.0,9.0,32.186963235294115,60.0
27882.0,69.0,395.0,17.0,48.11261274509804,49.5295
34478.0,23.0,697.0,37.0,57.30768137254901,33.58638235294117
9685.0,47.0,275.0,31.0,32.798541666666665,55.01992647058824
72376.0,58.0,566.0,31.0,72.59001960784313,32.082470588235296
23465.0,37.0,659.0,48.0,56.51702205882353,39.104338235294115
8752.0,56.0,286.0,27.0,34.41729411764706,55.98847058823529
33480.0,84.0,818.0,16.0,73.48049019607843,37.453529411764706
66217.0,55.0,215.0,59.0,57.72353186274509,43.59280882352942
69702.0,80.0,278.0,12.0,60.044132352941176,43.80979411764706
68910.0,84.0,624.0,40.0,81.63732843137255,34.301911764705885
6440.0,22.0,650.0,16.0,40.846372549019605,41.86058823529412
14972.0,39.0,665.0,43.0,53.25175490196079,41.28641176470588
55883.0,69.0,212.0,0.0,47.16788970588235,47.91160294117647
49004.0,66.0,677.0,6.0,66.76473529411764,35.60194117647058
5862.0,48.0,132.0,38.0,26.03746568627451,60.0
35486.0,37.0,606.0,54.0,59.5307794117647,37.65791176470589
51812.0,80.0,527.0,1.0,63.219696078431376,40.95876470588235
57358.0,45.0,500.0,27.0,60.12689705882353,36.248735294117644
18714.0,61.0,227.0,50.0,40.38637745098039,55.82150000000001
68239.0,58.0,681.0,43.0,78.4504093137255,29.734367647058825
26886.0,82.0,118.0,15.0,37.42930882352941,59.4549705882353
40755.0,36.0,79.0,24.0,31.471360294117645,51.723014705882356
53178.0,46.0,841.0,33.0,75.84175,27.381970588235294
14174.0,37.0,264.0,46.0,34.11132843137255,53.04473529411764
35412.0,56.0,166.0,48.0,42.26773529411764,52.85288235294117
12881.0,29.0,312.0,32.0,31.66959068627451,51.01504411764706
49738.0,42.0,459.0,31.0,55.30076960784314,39.00667647058823
4488.0,82.0,717.0,33.0,60.21829411764706,47.43682352941177
49242.0,43.0,840.0,54.0,77.1128088235294,28.04244117647059
76684.0,23.0,57.0,35.0,42.68395098039216,41.85841176470588
71832.0,83.0,92.0,40.0,57.46249019607843,49.10082352941177
33653.0,57.0,412.0,15.0,47.91987499999999,46.17498529411765
5813.0,35.0,121.0,35.0,21.942620098039214,59.105573529411764
37536.0,44.0,457.0,10.0,47.60149019607843,42.351294117647065
35197.0,33.0,319.0,29.0,40.80867892156863,45.70075
2024.0,49.0,549.0,0.0,38.12370588235294,49.11164705882353
41429.0,34.0,452.0,38.0,51.13979656862745,40.34863235294118
11934.0,27.0,148.0,47.0,25.62623039215686,55.84002941176471
22649.0,70.0,536.0,10.0,51.85415931372549,46.808338235294116
44438.0,19.0,476.0,30.0,48.53483823529412,37.12579411764706
9643.0,19.0,49.0,55.0,19.55926225490196,58.383367647058826
65730.0,49.0,64.0,1.0,39.3565931372549,47.44985294117647
66326.0,71.0,175.0,8.0,51.146759803921576,46.624382352941176
41828.0,75.0,37.0,6.0,36.073735294117654,57.278294117647064
32266.0,70.0,233.0,55.0,48.701710784313725,53.31585294117647
49585.0,72.0,816.0,36.0,79.93555147058824,32.074338235294114
42487.0,66.0,53.0,44.0,41.28948774509804,55.584132352941175
57254.0,45.0,143.0,22.0,42.454563725490196,46.774735294117654
52600.0,67.0,662.0,19.0,69.8093137254902,35.26176470588236
6560.0,65.0,700.0,39.0,57.19529411764705,45.41882352941177
27404.0,60.0,68.0,51.0,36.09414705882353,58.20782352941177
25456.0,72.0,185.0,12.0,37.19305882352941,56.66541176470588
11490.0,68.0,50.0,37.0,28.82835784313726,60.0
71402.0,42.0,767.0,27.0,77.2522205882353,24.531852941176474
55982.0,19.0,231.0,31.0,41.5010931372549,41.44567647058823
61979.0,71.0,339.0,56.0,65.23428186274509,42.887602941176475
51628.0,61.0,47.0,29.0,40.75853921568628,52.88711764705883
11569.0,51.0,210.0,42.0,33.22072794117647,56.931279411764706
46264.0,65.0,734.0,54.0,76.18429411764706,34.49282352941176
47732.0,74.0,405.0,17.0,57.203421568627455,44.86111764705882
53270.0,43.0,26.0,12.0,33.31742647058823,50.97661764705883
14465.0,22.0,47.0,27.0,17.312610294117647,57.58963235294117
57536.0,68.0,426.0,43.0,64.78972549019608,41.086588235294116
25540.0,77.0,620.0,6.0,57.87161764705882,44.438529411764705
51067.0,39.0,4.0,12.0,30.51483088235294,51.703838235294114
31206.0,80.0,396.0,2.0,49.4944068627451,49.963205882352945
42011.0,79.0,812.0,43.0,79.72079166666667,34.909014705882356
4321.0,51.0,201.0,33.0,28.579198529411762,59.007985294117645
78007.0,53.0,223.0,0.0,52.21733088235294,40.17472058823529
67582.0,76.0,140.0,39.0,56.31383823529412,47.92802941176471
52602.0,60.0,599.0,49.0,70.19829901960784,36.29067647058824
